Name,Team,Sport,Gold,Silver,Bronze,Image
Juan Emilio Priz,Uruguay,Football,1,0,0,
Juan Escarr Uruea,Spain,Hockey,0,1,0,
Juan Esteban Curuchet,Argentina,Cycling,1,0,0,
Juan Evangelista Venegas Trinidad,Puerto Rico,Boxing,0,0,1,
Juan Evaristo,Argentina,Football,0,1,0,
Juan Fabila Mendoza,Mexico,Boxing,0,0,1,
Juan Fernndez la Villa,Spain,Hockey,0,1,0,
Juan Ferrer Lahera,Cuba,Judo,0,1,0,
Juan Garca Lorenzana,Spain,Handball,0,0,1,
Juan Gracia Zazueta,Mexico,Polo,0,0,1,
Juan Guilherme Nunes Jesus,Brazil,Football,0,1,0,
Juan Hernndez Sierra,Cuba,Boxing,0,2,0,
"Juan Ignacio ""Pepe"" Snchez Brown",Argentina,Basketball,1,0,0,
Juan Ignacio Gilardi,Argentina,Hockey,1,0,0,
"Juan Jorge Giha Yarur, Jr.",Peru,Shooting,0,1,0,
Juan Leon de Jongh,South Africa,Rugby Sevens,0,0,1,
Juan Luis Marn Dels,Cuba,Wrestling,0,2,1,
Juan Lus Coghen Alberdingk-Thijm,Spain,Hockey,0,1,0,
Juan Manrique Garca,Cuba,Baseball,1,1,0,
"Juan Manuel ""Juanma"" Lpez Martnez",Spain,Football,1,0,0,
Juan Manuel Lpez Iturriaga,Spain,Basketball,0,1,0,
Juan Manuel Saladino,Argentina,Hockey,1,0,0,
Juan Manuel Vivaldi,Argentina,Hockey,1,0,0,
Juan Mara de la Fuente,Argentina,Sailing,0,0,2,
Juan Martn Lpez,Argentina,Hockey,1,0,0,
Juan Martn del Potro,Argentina,Tennis,0,1,1,
Juan Miguel Rodrguez Martnez,Cuba,Shooting,0,0,1,
Juan Morales Hechavarra,Cuba,Athletics,0,1,0,
Juan Padilla Alfonso,Cuba,Baseball,2,0,0,
Juan Paredes Miranda,Mexico,Boxing,0,0,1,
Juan Pedro Arremn,Uruguay,Football,1,0,0,
Juan Pedro Gutirrez Llanas,Argentina,Basketball,0,0,1,
Juan Pelln Fernndez-Fonteche,Spain,Hockey,0,1,0,
Juan Prez Mrquez,Spain,Handball,0,0,2,
Juan Ramn Gregorio Artola Letamenda,Spain,Football,0,1,0,
Juan Roca Brunet,Cuba,Basketball,0,0,1,
Juan Romn Riquelme,Argentina,Football,1,0,0,
"Juan de Dios ""Juantxo"" Garca-Maurio Snchs",Spain,Hockey,0,1,0,
Juan lvaro Jos Gaxiola Robles,Mexico,Diving,0,1,0,
Juan ngel Calzado de Castro,Spain,Hockey,0,0,1,
Juana Katrin Drre-Heinig,East Germany,Athletics,0,0,1,
Jude Monye,Nigeria,Athletics,1,0,0,
Judit Simics-Zsemberi,Hungary,Handball,0,1,0,
Judit Temes (-Tuider),Hungary,Swimming,1,0,1,
Judit Tth (-Gamauf),Hungary,Gymnastics,0,0,1,
Judit goston-Mendelnyi,Hungary,Fencing,1,0,0,
"Judith ""Jutta"" Heine",Germany,Athletics,0,2,0,
"Judith ""Jutta"" Niehaus (-Tiemann)",West Germany,Cycling,0,1,0,
"Judith ""Jutta"" Weber (-Meeuw)",West Germany,Swimming,0,0,2,
"Judith Ann ""Judy"" Strong",United States,Hockey,0,0,1,
"Judith Anne ""Judy"" Diduck",Canada,Ice Hockey,0,1,0,
"Judith Anne ""Judy"" Reeder",United States,Swimming,1,0,0,
"Judith Anne ""Tinks"" Pottinger",New Zealand,Equestrianism,0,0,1,
Judith Arndt,Germany,Cycling,0,2,1,
"Judith Brenda Grinham (-Rowley, -Roe)",Great Britain,Swimming,1,0,0,
"Judith Ellen ""Judy"" Melick",United States,Swimming,1,0,0,
"Judith Florence ""Judy"" Amoore-Pollock",Australia,Athletics,0,0,1,
"Judith Joy ""Judy-Joy"" Davies",Australia,Swimming,0,0,1,
"Judith Lynne ""Judi"" Brown (-King, -Clarke)",United States,Athletics,0,1,0,
"Judith White ""Judy"" Playfair",Australia,Swimming,0,1,0,
Judith Zeidler (-Ungemach),Germany,Rowing,0,0,1,
Judith Zeidler (-Ungemach),East Germany,Rowing,1,0,0,
Jugoslav Vasovi,Serbia and Montenegro,Water Polo,0,0,1,
Juha Iisakki Mieto,Finland,Cross Country Skiing,1,2,2,
Juha Pekka Antero Tiainen,Finland,Athletics,1,0,0,
Juha Petter Hirvi,Finland,Shooting,0,1,0,
Juha Petteri Lind,Finland,Ice Hockey,0,0,1,
Juha Petteri Ylnen,Finland,Ice Hockey,0,0,1,
Juhamatti Tapio Aaltonen,Finland,Ice Hockey,0,0,1,
"Juhan ""Jaan"" Kikkas (-Kikas)",Estonia,Weightlifting,0,0,1,
Juho Julius Saaristo,Finland,Athletics,1,1,0,
Juho Pekka Niemi (Yliniemi-),Finland,Cross Country Skiing,0,0,1,
Jujie Luan,China,Fencing,1,0,0,
Jukka Einar Virtanen,Finland,Ice Hockey,0,1,0,
Jukka Matti Rauhala,Finland,Wrestling,0,0,1,
Jukka Mika Petteri Hentunen,Finland,Ice Hockey,0,1,0,
Jukka Petteri Ylipulli,Finland,Nordic Combined,0,0,1,
Jukka Viljo Tapani Tammi,Finland,Ice Hockey,0,1,1,
"Jules Alexis ""Louis"" Zutter",Switzerland,Gymnastics,1,2,0,
Jules Clvenot,Libellule de Paris,Water Polo,0,0,1,
Jules Cyrus Angelle Trinit,France,Shooting,0,1,0,
Jules Henri Bouckaert,Cercle de l'Aviron Roubaix-4,Rowing,1,0,0,
Jules Joseph Bonvalet,Belgium,Equestrianism,0,0,1,
Jules Keignaert,France,Water Polo,0,0,1,
Jules Labeu,Belgium,Gymnastics,0,1,0,
Jules Ladoumgue,France,Athletics,0,1,0,
Jules Louis Verbecke (Gaillard-),Tritons Lillois-2,Swimming,0,1,0,
Jules Maria Adolphe Henri De Bisschop,Royal Club Nautique de Gand,Rowing,0,1,0,
Jules Pirard,France,Gymnastics,0,0,1,
Jules Thiry,Belgium,Water Polo,0,1,0,
"Jules Timothy ""Tim"" Brabants",Great Britain,Canoeing,1,0,2,
"Julia Ann ""Julie"" Staver",United States,Hockey,0,0,1,
Julia Dujmovits,Austria,Snowboarding,1,0,0,
Julia Elizabeth Smit,United States,Swimming,0,1,1,
Julia Emma Greville (-Radley),Australia,Swimming,0,0,1,
Julia Gray Stowers,United States,Swimming,1,0,0,
Julia Krajewski,Germany,Equestrianism,0,1,0,
Julia Lier,Germany,Rowing,1,0,0,
Julia Ludwika Michalska,Poland,Rowing,0,0,1,
Julia Lyman Trotman (-Brady),United States,Sailing,0,0,1,
Julia Marie Mancuso (-Fish),United States,Alpine Skiing,1,2,1,
Julia Marty,Switzerland,Ice Hockey,0,0,1,
Julia Matijass,Germany,Judo,0,0,1,
Julia Mller,Germany,Hockey,0,0,1,
Julia Richter,Germany,Rowing,0,1,0,
Julia Zwehl,Germany,Hockey,1,0,0,
Julian Brandt,Germany,Football,0,1,0,
Julian Brian Pearce,Australia,Hockey,0,1,1,
Julian Brooke-Houghton,Great Britain,Sailing,0,1,0,
Julian Frank Schmitz,"New York Turnverein, New York",Gymnastics,0,1,0,
Julian Gerard Creus,Great Britain,Weightlifting,0,1,0,
Julian Kean Roosevelt,Llanoria,Sailing,1,0,0,
Julian Paul Carroll,Australia,Swimming,0,1,0,
Juliana Felisberta da Silva,Brazil-1,Beach Volleyball,0,0,1,
Juliana Ribeiro Cabral,Brazil,Football,0,1,0,
Julianne Lyn McNamara (-Zeile),United States,Gymnastics,1,2,0,
Julianus Wagemans,Belgium,Gymnastics,0,1,0,
Julie Bndicte Deiters,Netherlands,Hockey,0,0,1,
Julie Bresset,France,Cycling,1,0,0,
Julie Gail Towers (-Richardson),Australia,Hockey,1,0,0,
Julie Jo Vollertsen (-Melli),United States,Volleyball,0,1,0,
Julie Lynne Black-Burns Richards,United States,Equestrianism,0,0,1,
Julie M. Smith,United States,Softball,1,0,0,
Julie Maree McDonald,Australia,Swimming,0,0,1,
Julie Maurine Foudy,United States,Football,2,1,0,
Julie Schmitt (-Knabel),Germany,Gymnastics,1,0,0,
Julie Sutton-Skinner,Canada,Curling,0,0,1,
Julie Swail-Ertel,United States,Water Polo,0,1,0,
Julie Wu Chu,United States,Ice Hockey,0,3,1,
Julien Absalon,France,Cycling,2,0,0,
Julien Bahain,France,Rowing,0,0,1,
Julien Benneteau,France-2,Tennis,0,0,1,
Julien Bontemps,France,Sailing,0,1,0,
Julien Joseph Sylvio Mdcin,Monaco,Art Competitions,0,0,1,
Julien Louis Brul,France,Archery,1,3,1,
Julien Pillet,France,Fencing,2,1,0,
Julien Robert,France,Biathlon,0,0,2,
Julien Thierry Desprs,France,Rowing,0,0,1,
Julien Verdonck,Belgium,Gymnastics,0,1,0,
Julien Victor Wartelle,France,Gymnastics,0,0,1,
Juliene Simpson (Brazinski-),United States,Basketball,0,1,0,
Juliet Haslam,Australia,Hockey,2,0,0,
Juliet Jean Cuthbert,Jamaica,Athletics,0,2,1,
Juliette Anne Haigh,New Zealand,Rowing,0,0,1,
Julio Christian Sieburger Hadler,Djinn,Sailing,0,1,0,
Julio Csar Enciso Ferreira,Paraguay,Football,0,1,0,
Julio Csar La Cruz Peraza,Cuba,Boxing,1,0,0,
Julio Csar Manzur Caffarena,Paraguay,Football,0,1,0,
Julio Garca Fernndez los Ros,Spain,Equestrianism,1,0,0,
Julio Mller Lujn,Mexico,Polo,0,0,1,
Julio Pablo Chacn,Argentina,Boxing,0,0,1,
Julio Pedro Curatella,Argentina,Rowing,0,0,1,
Julio Valentn Gonzlez Ferreira,Paraguay,Football,0,1,0,
Julius Alexander Thomson,Toronto Argonauts,Rowing,0,0,1,
Julius Beresford Wiszniewski,Thames Rowing Club,Rowing,0,1,0,
Julius Brink,Germany-1,Beach Volleyball,1,0,0,
Julius Carl Fritz Manteuffel,Germany,Gymnastics,2,0,0,
Julius Eisenecker,Germany,Fencing,0,0,2,
Julius Emil Jrgen Brecht,Germany,Fencing,0,0,1,
Julius Ferninand Skutnabb,Finland,Speed Skating,1,2,1,
Julius Gustaf Mauritz Johansson,Sweden,Ice Hockey,0,1,0,
"Julius Gustav Albert ""Bert"" Schneider",Canada,Boxing,1,0,0,
Julius Helmut Braselmann,Germany,Handball,1,0,0,
Julius Kariuki,Kenya,Athletics,1,0,0,
Julius Khn,Germany,Handball,0,0,1,
Julius Kiplagat Yego,Kenya,Athletics,0,1,0,
Julius Korir,Kenya,Athletics,1,0,0,
Julius Lenhart,Austria,Gymnastics,1,1,0,
Julius Lenhart,"Philadelphia Turngemeinde, Philadelphia",Gymnastics,1,0,0,
"Julius Olaissen ""Jul"" Braathe (Olaissen-)",Norway,Shooting,1,1,0,
Julius Sang,Kenya,Athletics,1,0,1,
Julius Shareef Abdur-Rahim,United States,Basketball,1,0,0,
"Julius Theodoor ""Jules"" Ancion",Netherlands,Hockey,0,1,0,
Julius Vytautas Briedis,Soviet Union,Rowing,0,0,1,
Jun Gao (-Chang),China-1,Table Tennis,0,1,0,
Jun Mizutani,Japan,Table Tennis,0,1,1,
June Alexandra Croft,Great Britain,Swimming,0,1,1,
June Elaine Rita Maston (-Ferguson),Australia,Athletics,0,1,0,
"June Florence Foulds-Paul (-Carroll, -Reynolds)",Great Britain,Athletics,0,1,1,
Jung Jae-Eun,South Korea,Taekwondo,1,0,0,
Jungo Morita,Japan,Volleyball,1,1,0,
Junichi Inoue,Japan,Speed Skating,0,0,1,
Junichi Miyashita,Japan,Swimming,0,0,1,
Junko Onishi,Japan,Swimming,0,0,1,
Junko Tanaka,Japan,Synchronized Swimming,0,0,1,
Juno Jean Pope Stover-Irwin (-Cox),United States,Diving,0,1,1,
Junzo Inohara,Japan,Hockey,0,1,0,
Juozas Jagelaviius,Soviet Union,Rowing,0,0,1,
Juraj Baa,Slovakia,Canoeing,0,0,1,
Juraj Mink,Slovakia,Canoeing,0,0,1,
Juraj Tarr,Slovakia,Canoeing,0,2,0,
Jure Franko,Yugoslavia,Alpine Skiing,0,1,0,
Jure Koir,Slovenia,Alpine Skiing,0,0,1,
Juri Takayama,Japan,Softball,0,1,1,
Juri Tatsumi,Japan,Synchronized Swimming,0,2,0,
Juri Yokoyama (-Nishikawa),Japan,Volleyball,1,0,0,
"Jurij ""Jure"" Zdovc",Yugoslavia,Basketball,0,1,0,
Juris Brzi,Soviet Union,Rowing,0,1,0,
Juris Kalni,Soviet Union,Basketball,0,1,0,
Juris Silovs,Soviet Union,Athletics,0,1,1,
Juris Tone,Soviet Union-2,Bobsleigh,0,0,1,
Juris ics,Latvia,Luge,0,0,1,
Juris ics,Latvia-1,Luge,0,1,1,
Jury Dimitri Chechi,Italy,Gymnastics,1,0,1,
Jussi Petteri Jokinen,Finland,Ice Hockey,0,1,1,
Justin Alexander Gatlin,United States,Athletics,1,2,2,
Justin Bradley Olsen,United States-1,Bobsleigh,1,0,0,
Justin Edward Spring,United States,Gymnastics,0,0,1,
Justin Gilberto Geduld,South Africa,Rugby Sevens,0,0,1,
Justin Grant Huish,United States,Archery,2,0,0,
Justin Jeremiah McCarthy,United States,Ice Hockey,0,1,0,
Justin Neville Norris,Australia,Swimming,0,0,1,
Justin Peter Rose,Great Britain,Golf,1,0,0,
Justin Warsylewicz,Canada,Speed Skating,0,1,0,
Justin William Lemberg,Australia,Swimming,0,0,1,
Justinas Lagunaviius,Soviet Union,Basketball,0,1,0,
Justine Dufour-Lapointe,Canada,Freestyle Skiing,1,0,0,
Justine Henin-Hardenne,Belgium,Tennis,1,0,0,
Justine Smethurst,Australia,Softball,0,0,1,
Justinien Charles Xavier Clary (Bretonneau-),France,Shooting,0,0,1,
Justus Ketchum Smith,United States,Rowing,1,0,0,
"Justus Kinloch Ayres ""Jack"" Oosterlaak",South Africa,Athletics,0,1,0,
Justus Scharowsky,Germany,Hockey,0,0,1,
Justyna Kowalczyk,Poland,Cross Country Skiing,2,1,2,
Jutaro Kimura,Japan,Baseball,0,1,0,
Jutta Behrendt (Hampe-),East Germany,Rowing,1,0,0,
Jutta Kirst (Krautwurst-),East Germany,Athletics,0,0,1,
Jutta Lau,East Germany,Rowing,2,0,0,
Jutta Ploch (-Schenk),East Germany,Rowing,1,0,0,
Juuso Hietanen,Finland,Ice Hockey,0,0,1,
Jyri Gran Kjll,Finland,Boxing,0,0,1,
Jyrki Heikki Jrvi,Finland,Sailing,1,0,0,
Jyrki Olavi Lumme,Finland,Ice Hockey,0,1,1,
Jzef Grudzie,Poland,Boxing,1,1,0,
Jzef Grzesiak,Poland,Boxing,0,0,1,
Jzef Klukowski,Poland,Art Competitions,1,1,0,
Jzef Lange,Poland,Cycling,0,1,0,
Jzef Lipie,Poland,Wrestling,0,1,0,
Jzef Piotr Trenkwald,Poland,Equestrianism,0,0,1,
Jzef Szmidt (-Schmidt),Poland,Athletics,2,0,0,
Jzef Tracz,Poland,Wrestling,0,1,2,
Jzef Zapdzki,Poland,Shooting,2,0,0,
Jzefa Ledwig (-Bben),Poland,Volleyball,0,0,2,
Jzsef Balla,Hungary,Wrestling,0,2,0,
Jzsef Berkes (Bittenbinder-Szendrey),Hungary,Gymnastics,0,1,0,
Jzsef Bozsik,Hungary,Football,1,0,0,
Jzsef Csatri,Hungary,Wrestling,0,0,2,
Jzsef Csermely,Hungary,Rowing,0,1,0,
Jzsef Csermk,Hungary,Athletics,1,0,0,
Jzsef Csk,Hungary,Judo,0,1,0,
Jzsef Deme,Hungary,Canoeing,0,1,0,
Jzsef Fekete,Hungary,Gymnastics,0,0,1,
Jzsef Gelei,Hungary,Football,1,0,0,
Jzsef Gurovits,Hungary,Canoeing,0,0,1,
Jzsef Gyuricza,Hungary,Fencing,0,0,1,
Jzsef Hunics,Hungary,Canoeing,0,0,1,
Jzsef Jacs,Hungary,Weightlifting,0,1,0,
Jzsef Keresztessy,Hungary,Gymnastics,0,1,0,
Jzsef Kovcs,Hungary,Athletics,0,1,0,
Jzsef Kovcs,Hungary,Football,0,1,0,
Jzsef Marosi,Hungary,Fencing,0,1,1,
Jzsef Munk,Hungary,Swimming,0,1,0,
Jzsef Nagy,Hungary,Athletics,0,0,1,
Jzsef Navarrete,Hungary,Fencing,0,1,0,
Jzsef Palots,Hungary,Wrestling,0,0,1,
Jzsef Rdy,Hungary,Fencing,1,1,0,
Jzsef Skovics (-Szecsdi),Hungary,Fencing,0,1,2,
Jzsef Szab,Hungary,Swimming,1,0,0,
Jzsef Tuncsik,Hungary,Judo,0,0,1,
Jzsef Tunyogi,Hungary,Wrestling,0,0,1,
Jzsef Vrszegi (Vennesz-),Hungary,Athletics,0,0,1,
Jzsef Vrtesy (Vrbel-),Hungary,Water Polo,1,1,0,
Jzsef Zakaris,Hungary,Football,1,0,0,
Jzsef nody,Hungary,Swimming,1,0,0,
Jzsef von Platthy,Hungary,Equestrianism,0,0,1,
K. C. Jones,United States,Basketball,1,0,0,
"Kaarl Edvard ""Kalle"" Mikkolainen",Finland,Gymnastics,0,0,1,
Kaarle McCulloch,Australia,Cycling,0,0,1,
"Kaarle Vin ""Kalle"" Ekholm",Finland,Gymnastics,0,1,0,
Kaarlo Anton Koskelo (pl-),Finland,Wrestling,1,0,0,
Kaarlo Edvin Mkinen,Finland,Wrestling,1,1,0,
Kaarlo Eino Saastamoinen,Finland,Gymnastics,0,1,0,
Kaarlo Hannes Maaninka,Finland,Athletics,0,1,1,
"Kaarlo Hjalmar ""Kalle"" Vasama",Finland,Gymnastics,0,1,0,
"Kaarlo Jalmari ""Kalle"" Tuominen",Finland,Athletics,0,1,0,
"Kaarlo Johan Jalmari ""Kalle"" Anttila",Finland,Wrestling,2,0,0,
Kaarlo Kalervo Toivonen,Finland,Athletics,0,0,1,
"Kaarlo Kustaa ""Kalle"" Lappalainen",Finland,Shooting,0,1,1,
Kaarlo Kysti (Karl Gustaf-) Soinio (Salin-),Finland,Gymnastics,0,0,1,
Kaarlo Olavi Kangasniemi,Finland,Weightlifting,1,0,0,
Kacey Lee Bellamy,United States,Ice Hockey,0,2,0,
Kadeisha Buchanan,Canada,Football,0,0,1,
Kaeo Pongprayoon,Thailand,Boxing,0,1,0,
Kaetlyn Osmond,Canada,Figure Skating,0,1,0,
Kahena Kunze,Brazil,Sailing,1,0,0,
Kai Alexander Szelig,Germany-2,Bobsleigh,1,0,0,
Kai Arne Engelstad,Norway,Speed Skating,0,0,1,
Kai Hfner,Germany,Handball,0,0,1,
Kai Petri Suikkanen,Finland,Ice Hockey,0,1,0,
"Kai-Wen ""Kevin"" Tan",United States,Gymnastics,0,0,1,
Kaija Marja Mustonen,Finland,Speed Skating,1,2,1,
Kaillie Humphries (Simondson-),Canada-1,Bobsleigh,2,0,0,
Kaino Johannes Lempinen,Finland,Gymnastics,0,0,1,
Kaitlin Shea Sandeno (-Hogan),United States,Swimming,1,1,2,
Kaitlyn Brooke Farrington,United States,Snowboarding,1,0,0,
Kaitlyn Lawes,Canada,Curling,1,0,0,
Kaj Hendriks,Netherlands,Rowing,0,0,1,
Kaj Svane Gnudtzmann,Denmark,Gymnastics,0,1,0,
Kaj Tapio Rautavaara,Finland,Athletics,1,0,0,
Kajetan Tomasz Broniewski,Poland,Rowing,0,0,1,
Kajsa Margareta Bergqvist (-Herngren-),Sweden,Athletics,0,0,1,
Kaleigh Gilchrist,United States,Water Polo,1,0,0,
Kalervo Juhani Rauhala,Finland,Wrestling,0,1,0,
Kalervo Tuukkanen,Finland,Art Competitions,0,1,0,
Kalevi Armas Oikarainen,Finland,Cross Country Skiing,0,0,1,
Kalevi Ensio Suoniemi,Finland,Gymnastics,0,0,1,
Kalevi Johannes Laitinen,Finland,Gymnastics,1,0,1,
Kalevi Johannes Laurila,Finland,Cross Country Skiing,0,1,1,
Kalevi Nikolai Hmlinen,Finland,Cross Country Skiing,1,0,0,
Kalevi Viskari,Finland,Gymnastics,0,0,1,
Kalimullah Khan,Pakistan,Hockey,1,0,0,
Kalle Jalkanen,Finland,Cross Country Skiing,1,0,0,
Kalle Kustaa Paasia,Finland,Gymnastics,0,0,1,
Kalle Markus Kiiskinen,Finland,Curling,0,1,0,
Kalle Niilo Ponteva Halonen,Finland,Ski Jumping,0,1,0,
Kalyna Roberge,Canada,Short Track Speed Skating,0,2,0,
Kamal Bahamdan,Saudi Arabia,Equestrianism,0,0,1,
Kamandar Bafaliyevich Madzhidov,Soviet Union,Wrestling,1,0,0,
Kamen Lozanov Goranov,Bulgaria,Wrestling,0,1,0,
Kameradin Susanthika Jayasinghe,Sri Lanka,Athletics,0,1,0,
"Kameryn Louise ""Kami"" Craig",United States,Water Polo,2,1,0,
Kamil Aliyevich Dzhamaludinov,Russia,Boxing,0,0,1,
Kamil Kak,Czechoslovakia,Ice Hockey,0,0,1,
Kamil Wiktor Stoch,Poland,Ski Jumping,2,0,0,
Kamila Skolimowska,Poland,Athletics,1,0,0,
Kamilla Rytter Juhl,Denmark,Badminton,0,1,0,
Kamilla Yusufovna Gafurzyanova (-Vaksman),Russia,Fencing,0,1,0,
Kamran ahsuvarl,Azerbaijan,Boxing,0,0,1,
Kanae Yamabe,Japan,Judo,0,0,1,
Kanako Kitao,Japan,Synchronized Swimming,0,1,0,
Kanami Nakamaki,Japan,Synchronized Swimming,0,0,1,
"Kanatbek Kubatovich ""Kanat"" Begaliyev",Kyrgyzstan,Wrestling,0,1,0,
Kang Ok-Sun,North Korea,Volleyball,0,0,1,
Kang Yong-Gyun,North Korea,Wrestling,0,0,1,
Kano Omata,Japan,Synchronized Swimming,0,0,1,
Kanybek Osmonaliyevich Osmonaliyev,Soviet Union,Weightlifting,1,0,0,
Kaori Icho,Japan,Wrestling,4,0,0,
Kaori Inoue,Japan,Volleyball,0,0,1,
Kaori Kawanaka,Japan,Archery,0,0,1,
Kaori Matsumoto,Japan,Judo,1,0,1,
Kaori Takahashi,Japan,Synchronized Swimming,0,0,1,
Kapka Georgieva (-Panayotova),Bulgaria,Rowing,0,1,0,
Kara Elizabeth Wolters (-Drinan),United States,Basketball,1,0,0,
Kara Lynn Joyce,United States,Swimming,0,4,0,
Kara Marie Lawson,United States,Basketball,1,0,0,
Kara Michelle Kohler,United States,Rowing,0,0,1,
Karam Mohamed Gaber Ibrahim,Egypt,Wrestling,1,1,0,
Karel Hartmann,Czechoslovakia,Ice Hockey,0,0,1,
Karel Heijting,Netherlands,Football,0,0,1,
Karel Johan Schummelketel,Netherlands,Equestrianism,0,1,0,
Karel Klaver,Netherlands,Hockey,0,1,0,
Karel Knesl,Czechoslovakia,Football,0,1,0,
Karel Leendert Miljon,Netherlands,Boxing,0,0,1,
Karel Lichtngl,Czechoslovakia,Football,0,1,0,
Karel Lismont,Belgium,Athletics,0,1,1,
Karel Masopust,Czechoslovakia,Ice Hockey,0,1,0,
"Karel Mejta, Sr.",Czechoslovakia,Rowing,1,0,0,
Karel Neffe,Czechoslovakia,Rowing,0,0,1,
Karel Nepomuck,Czechoslovakia,Football,0,1,0,
Karel Paulus,Czechoslovakia,Volleyball,0,1,0,
Karel Peek,Czechoslovakia,Ice Hockey,0,0,1,
Karel Stibor,Czechoslovakia,Ice Hockey,0,1,0,
Karel Vohralk,Czechoslovakia,Ice Hockey,0,0,1,
Karel Wlzer,Czechoslovakia,Ice Hockey,0,0,1,
Karel Zdenk Piman,Czechoslovakia,Football,0,1,0,
Karen Anne Nystrom,Canada,Ice Hockey,0,1,0,
Karen Anne Phillips (-Higgison),Australia,Swimming,0,1,0,
Karen Bennett,Great Britain,Rowing,0,1,0,
Karen Brdsgaard,Denmark,Handball,2,0,0,
Karen Brown,Great Britain,Hockey,0,0,1,
Karen Cashman (-Lehmann),United States,Short Track Speed Skating,0,0,1,
Karen Christina Shelton (-Scroggs),United States,Hockey,0,0,1,
Karen Cockburn (-Turgeon),Canada,Trampolining,0,2,1,
Karen Denise Fonteyne,Canada,Synchronized Swimming,0,1,0,
Karen Diane Magnussen (-Cella),Canada,Figure Skating,0,1,0,
Karen Elizabeth Marsden,Australia,Hockey,1,0,0,
Karen Elizabeth Stives,United States,Equestrianism,1,1,0,
Karen Elizabeth Straker-Dixon,Great Britain,Equestrianism,0,1,0,
Karen Forkel,Germany,Athletics,0,0,1,
Karen Hoff,Denmark,Canoeing,1,0,0,
Karen Julia Josephson,United States,Synchronized Swimming,1,1,0,
Karen Kraft (-Rigsby),United States,Rowing,0,1,1,
Karen Lende O'Connor,United States,Equestrianism,0,1,1,
Karen Lynn Clark (-Le Poole),Canada,Synchronized Swimming,0,1,0,
Karen Lynne Moras (-Stephenson),Australia,Swimming,0,0,1,
Karen Lynne Percy (-Lowe),Canada,Alpine Skiing,0,0,2,
Karen Margrethe Harup (-Petersen),Denmark,Swimming,1,2,0,
Karen Paquin,Canada,Rugby Sevens,0,0,1,
Karen Patricia  Brancourt (-Pollock),Australia,Rowing,0,0,1,
"Karen Patricia ""Pat"" Spurgin (-Pitney)",United States,Shooting,1,0,0,
Karen Patricia Moe-Thornton (-Humphreys),United States,Swimming,1,0,0,
Karen Putzer,Italy,Alpine Skiing,0,0,1,
Karen Thatcher,United States,Ice Hockey,0,1,0,
Karen Vibeke Lunde (Arneberg-),Encore,Sailing,0,1,0,
Karen Vilhelmine Lachmann,Denmark,Fencing,0,1,1,
Kari Aalvik Grimsb,Norway,Handball,2,0,1,
Kari Antero Ristanen,Finland,Cross Country Skiing,0,0,1,
Kari Juhani Laitinen,Finland,Ice Hockey,0,1,0,
Kari Lehtonen,Finland,Ice Hockey,0,0,1,
Kari Mette Johansen,Norway,Handball,2,0,0,
Kari Pekka Eloranta,Finland,Ice Hockey,0,1,0,
Kari Traa,Norway,Freestyle Skiing,1,1,1,
Karim Florent Laghouag,France,Equestrianism,1,0,0,
Karim Tulyaganov,Uzbekistan,Boxing,0,0,1,
Karin Brienesse,Netherlands,Swimming,0,1,0,
Karin Elisabet Gustafson (Johansson-),Sweden,Curling,0,0,1,
Karin Elisabet Lindberg (-Lindn),Sweden,Gymnastics,1,1,0,
"Karin Enke-Kania (-Busch-, -Richter)",East Germany,Speed Skating,3,4,1,
Karin Guthke (-Hrtig),East Germany,Diving,0,0,1,
Karin Irene Singstad (-Vidal),Norway,Handball,0,1,0,
Karin Janz (-Bttner),East Germany,Gymnastics,2,3,2,
Karin Metze (-Ulbricht),East Germany,Rowing,2,0,0,
Karin Moroder,Italy,Cross Country Skiing,0,0,1,
Karin Oberhofer,Italy,Biathlon,0,0,1,
Karin Pettersen (-Ryen),Norway,Handball,0,2,0,
Karin Pschel (Kahlow-),East Germany,Volleyball,0,1,0,
Karin Richert-Balzer,Germany,Athletics,1,0,0,
Karin Richert-Balzer,East Germany,Athletics,0,0,1,
Karin Rodrigues,Brazil,Volleyball,0,0,1,
Karin Schlter,West Germany,Equestrianism,0,1,0,
Karin Seick,West Germany,Swimming,0,1,2,
Karin Thrig (-Bucher),Switzerland,Cycling,0,0,2,
Karin rnhj Mortensen,Denmark,Handball,2,0,0,
Karina Borisovna Aznavuryan,Russia,Fencing,2,0,1,
Karina Chenelle LeBlanc,Canada,Football,0,0,1,
Karina Khavazhevna Goricheva,Kazakhstan,Weightlifting,0,0,1,
Karina Louise Bryant,Great Britain,Judo,0,0,1,
Karina Maruyama,Japan,Football,0,1,0,
Karine Martine Ruby,France,Snowboarding,1,1,0,
Karine Sergerie,Canada,Taekwondo,0,1,0,
Karl Aage Hansen,Denmark,Football,0,0,1,
Karl Aarne Lindholm (-Linnolahti),Finland,Athletics,0,1,0,
Karl Adolf Clarence Hammar,Sylvia,Sailing,0,0,1,
Karl Albin Dahl,Sweden,Football,0,0,1,
Karl Alfred Hansen,Sweden,Equestrianism,0,0,1,
Karl Alfred Markus Schwarzmann,Germany,Gymnastics,3,1,2,
Karl Algot Lnn,Sweden,Cycling,1,0,0,
Karl Anders Daniel Eldebrink,Sweden,Ice Hockey,0,0,1,
Karl Arnold,Germany,Cycling,0,0,1,
